Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,20 m2,20 m2,SHM,-
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,15 m2,10 m2,SHM,-
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,250 m2,163 m2,SHM,-
"Rp 1,75 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,250 m2,258 m2,SHM,-
"Rp 2,1 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,200 m2,205 m2,SHM,Non-furnished
Rp 750 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,228 m2,228 m2,SHM,Semi-furnished
"Rp 1,25 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,120 m2,144 m2,SHM,Non-furnished
"Rp 958,11 Juta","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,57 m2,120 m2,HGB,-
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,120 m2,105 m2,SHM,-
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,93 m2,140 m2,SHM,Non-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,180 m2,200 m2,SHM,Non-furnished
"Rp 1,57 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,110 m2,215 m2,HGB,Non-furnished
"
Rp 800 Juta
","Kalimantan Timur, Samarinda, Sambutan",Rumah,-,63 m2,200 m2,Lain-lain,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,200 m2,200 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,38 m2,90 m2,HGB,Non-furnished
Rp 1 Miliar Rp 45 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,100 m2,119 m2,HGB,-
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",Rumah,-,50 m2,100 m2,SHM,-
"Rp 2,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,225 m2,300 m2,SHM,Semi-furnished
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",Rumah,Secondary,542 m2,542 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,100 m2,144 m2,SHM,-
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,200 m2,265 m2,SHM,Semi-furnished
Rp 550 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,70 m2,102 m2,SHM,Non-furnished
